# Energy	Flux
# keV	photon/(cm**2*s*keV)
2.984949999999999548e-01	1.488575757575771278e-04
2.994850000000000012e-01	2.811868686868712587e-06
3.004750000000000476e-01	3.037373737373765408e-06
3.014649999999999830e-01	2.233767676767697470e-06
3.024550000000000294e-01	8.648989898989978332e-06
3.034449999999999648e-01	1.499464646464660247e-05
3.044350000000000112e-01	1.081404040404050401e-05
3.054250000000000020e-01	1.322040404040416169e-05
3.064149999999999929e-01	3.838323232323267318e-06
3.074050000000000393e-01	6.979929292929356748e-06
3.083949999999999747e-01	1.281131313131324983e-04
3.093850000000000211e-01	3.001858585858613599e-06
3.103749999999999565e-01	2.835111111111137010e-06
3.113650000000000029e-01	4.491141414141455946e-06
3.123550000000000493e-01	6.835979797979860998e-06
3.133449999999999847e-01	2.543080808080831188e-06
3.143350000000000311e-01	3.806222222222257223e-06
3.153249999999999664e-01	1.667505050505066120e-05
3.163150000000000128e-01	3.932616161616198422e-05
3.173050000000000037e-01	3.742454545454580058e-06
3.182949999999999946e-01	5.754878787878840702e-06
3.192850000000000410e-01	6.599030303030363767e-06
3.202749999999999764e-01	5.174646464646512682e-06
3.212650000000000228e-01	4.884151515151560618e-06
3.222549999999999581e-01	3.984363636363672893e-06
3.232450000000000045e-01	5.862343434343488357e-06
3.242350000000000509e-01	5.295151515151563967e-06
3.252249999999999863e-01	1.951212121212138850e-06
3.262150000000000327e-01	2.286969696969718105e-06
3.272049999999999681e-01	2.177747474747494689e-06
3.281950000000000145e-01	3.327696969697000373e-06
3.291849999999999499e-01	1.712525252525268498e-05
3.301749999999999963e-01	5.518666666666717619e-06
3.311650000000000427e-01	1.161979797979808597e-05
3.321549999999999780e-01	5.579171717171767784e-06
3.331450000000000244e-01	2.112020202020221297e-06
3.341349999999999598e-01	1.881797979797997261e-06
3.351250000000000062e-01	2.004494949494968180e-06
3.361149999999999971e-01	2.078090909090928150e-06
3.371049999999999880e-01	5.608797979798032050e-06
3.380950000000000344e-01	1.291868686868698764e-05
3.390849999999999698e-01	1.089767676767686823e-05
3.400750000000000162e-01	2.131656565656585369e-06
3.410649999999999515e-01	2.781080808080833568e-05
3.420549999999999979e-01	3.303767676767707130e-06
3.430450000000000443e-01	1.790393939393955846e-06
3.440349999999999797e-01	1.699565656565672037e-06
3.450250000000000261e-01	2.917747474747501580e-06
3.460149999999999615e-01	1.772282828282844551e-06
3.470050000000000079e-01	8.788070707070787729e-06
3.479949999999999988e-01	2.546737373737397290e-06
3.489849999999999897e-01	1.015717171717181103e-05
3.499750000000000361e-01	6.089808080808136557e-06
3.509649999999999714e-01	2.871333333333359600e-06
3.519550000000000178e-01	1.445393939393952712e-05
3.529449999999999532e-01	2.321666666666687919e-06
3.539349999999999996e-01	4.658777777777821396e-06
3.549250000000000460e-01	1.814717171717188530e-05
3.559149999999999814e-01	2.352717171717193459e-06
3.569050000000000278e-01	2.618121212121236087e-06
3.578949999999999632e-01	3.285717171717201721e-06
3.588850000000000096e-01	6.431262626262685565e-06
3.598750000000000004e-01	1.389161616161628993e-06
3.608649999999999913e-01	5.621393939393990825e-06
3.618550000000000377e-01	6.125141414141471133e-06
3.628449999999999731e-01	1.707050505050520706e-06
3.638350000000000195e-01	2.831959595959622071e-06
3.648249999999999549e-01	4.644747474747517402e-06
3.658150000000000013e-01	3.680565656565690425e-06
3.668050000000000477e-01	5.564929292929344037e-06
3.677949999999999831e-01	2.693323232323256732e-04
3.687850000000000295e-01	1.524393939393953226e-06
3.697749999999999648e-01	5.371373737373787022e-06
3.707650000000000112e-01	6.892767676767740022e-06
3.717550000000000021e-01	2.688373737373762058e-06
3.727449999999999930e-01	1.931787878787896648e-06
3.737350000000000394e-01	1.330595959595971822e-06
3.747249999999999748e-01	1.296000000000011817e-06
3.757150000000000212e-01	4.359454545454584907e-06
3.767049999999999566e-01	2.473141414141436896e-06
3.776950000000000029e-01	2.359464646464668191e-06
3.786850000000000493e-01	4.255434343434382756e-06
3.796749999999999847e-01	4.994898989899036388e-06
3.806650000000000311e-01	3.986141414141450616e-06
3.816549999999999665e-01	3.002757575757603441e-06
3.826450000000000129e-01	4.482020202020243922e-06
3.836350000000000038e-01	3.047838383838411704e-06
3.846249999999999947e-01	5.646030303030355273e-06
3.856150000000000411e-01	3.670979797979832009e-06
3.866049999999999764e-01	2.090141414141433533e-06
3.875950000000000228e-01	2.450080808080830553e-06
3.885849999999999582e-01	2.058646464646483563e-06
3.895750000000000046e-01	1.471373737373750882e-06
3.905649999999999955e-01	1.663111111111126462e-06
3.915549999999999864e-01	3.847818181818217330e-06
3.925450000000000328e-01	1.679414141414156880e-06
3.935349999999999682e-01	2.138888888888908880e-06
3.945250000000000146e-01	5.316939393939443327e-06
3.955149999999999499e-01	4.131727272727310356e-06
3.965049999999999963e-01	3.376232323232354274e-06
3.974950000000000427e-01	1.267272727272738876e-06
3.984849999999999781e-01	2.514505050505074019e-06
3.994750000000000245e-01	7.937151515151587969e-06
4.004649999999999599e-01	2.245949494949515604e-06
4.014550000000000063e-01	2.808646464646490781e-06
4.024449999999999972e-01	1.348474747474759921e-06
4.034349999999999881e-01	1.050141414141423797e-06
4.044250000000000345e-01	1.084111111111121079e-06
4.054149999999999698e-01	1.034353535353544888e-06
4.064050000000000162e-01	1.031202020202029737e-06
4.073949999999999516e-01	1.851393939393956617e-05
4.083849999999999980e-01	1.480181818181831862e-06
4.093750000000000444e-01	1.036838383838393393e-06
4.103649999999999798e-01	1.072717171717181573e-06
4.113550000000000262e-01	1.148040404040414574e-06
4.123449999999999616e-01	1.073363636363646258e-06
4.133350000000000080e-01	1.234727272727284137e-06
4.143249999999999988e-01	1.007090909090918203e-06
4.153149999999999897e-01	1.278606060606072496e-06
4.163050000000000361e-01	9.928888888888981679e-07
4.172949999999999715e-01	9.662545454545542320e-07
4.182850000000000179e-01	1.304888888888900856e-06
4.192749999999999533e-01	1.623111111111125998e-06
4.202649999999999997e-01	4.213898989899028788e-05
4.212550000000000461e-01	1.686434343434358944e-06
4.222449999999999815e-01	9.976505050505142081e-07
4.232350000000000279e-01	9.677858585858675126e-07
4.242249999999999632e-01	1.062282828282838219e-06
4.252150000000000096e-01	1.077818181818191758e-06
4.262050000000000005e-01	7.028373737373801820e-06
4.271949999999999914e-01	9.772707070707161196e-07
4.281850000000000378e-01	1.106848484848494974e-06
4.291749999999999732e-01	2.600585858585882398e-06
4.301650000000000196e-01	3.292686868686898880e-06
4.311549999999999550e-01	4.566343434343476032e-05
4.321450000000000014e-01	1.274444444444456289e-06
4.331350000000000477e-01	1.435535353535366837e-06
4.341249999999999831e-01	8.617212121212200685e-07
4.351150000000000295e-01	3.007404040404068214e-05
4.361049999999999649e-01	8.936484848484930383e-07
4.370950000000000113e-01	1.019363636363645589e-06
4.380850000000000022e-01	8.870737373737455242e-07
4.390749999999999931e-01	1.192646464646475676e-06
4.400650000000000395e-01	8.377424242424319347e-07
4.410549999999999748e-01	1.823191919191935954e-06
4.420450000000000212e-01	1.076101010101019921e-06
4.430349999999999566e-01	4.796808080808125389e-06
4.440250000000000030e-01	1.839535353535370507e-06
4.450150000000000494e-01	9.323868686868773016e-07
4.460049999999999848e-01	9.442474747474835442e-07
4.469950000000000312e-01	8.240252525252601484e-07
4.479849999999999666e-01	8.530050505050583536e-07
4.489750000000000130e-01	1.040161616161625643e-06
4.499650000000000039e-01	8.439848484848562450e-07
4.509549999999999947e-01	1.356626262626275024e-06
4.519450000000000411e-01	1.233080808080819378e-06
4.529349999999999765e-01	1.279414141414153086e-06
4.539250000000000229e-01	7.782505050505122303e-07
4.549149999999999583e-01	7.748111111111181705e-07
4.559050000000000047e-01	8.012333333333406602e-07
4.568949999999999956e-01	7.759151515151587302e-07
4.578849999999999865e-01	8.207282828282903642e-07
4.588750000000000329e-01	9.929323232323323435e-07
4.598649999999999682e-01	1.116262626262636672e-05
4.608550000000000146e-01	8.396383838383916003e-07
4.618449999999999500e-01	7.588070707070776560e-07
4.628349999999999964e-01	7.615101010101080049e-07
4.638250000000000428e-01	1.145525252525263127e-06
4.648149999999999782e-01	7.300484848484915469e-07
4.658050000000000246e-01	8.209979797979873381e-07
4.667949999999999600e-01	8.763363636363716838e-07
4.677850000000000064e-01	7.480686868686938023e-07
4.687749999999999972e-01	1.077414141414151251e-06
4.697649999999999881e-01	8.505292929293007106e-07
4.707550000000000345e-01	4.080747474747512298e-06
4.717449999999999699e-01	8.032363636363710623e-07
4.727350000000000163e-01	7.604343434343503611e-07
4.737249999999999517e-01	7.238505050505117432e-07
4.747149999999999981e-01	8.843555555555637039e-07
4.757050000000000445e-01	8.237121212121287872e-07
4.766949999999999799e-01	3.376212121212152312e-06
4.776850000000000263e-01	1.227393939393950818e-06
4.786749999999999616e-01	9.479393939394027622e-07
4.796650000000000080e-01	2.054171717171736312e-06
4.806549999999999989e-01	7.585070707070777393e-07
4.816449999999999898e-01	8.835888888888970502e-07
4.826350000000000362e-01	1.580717171717186281e-06
4.836249999999999716e-01	1.283222222222234114e-06
4.846150000000000180e-01	6.524585858585918859e-07
4.856049999999999534e-01	1.996808080808099258e-06
4.865949999999999998e-01	6.290181818181875807e-07
4.875850000000000461e-01	9.057121212121295479e-07
4.885749999999999815e-01	6.431202020202079256e-07
4.895650000000000279e-01	2.236565656565677230e-06
4.905549999999999633e-01	9.821191919192009345e-07
4.915450000000000097e-01	7.604303030303100958e-07
4.925350000000000006e-01	7.384686868686936104e-07
4.935249999999999915e-01	8.120757575757651043e-07
4.945150000000000379e-01	7.552848484848554044e-07
4.955049999999999732e-01	7.350252525252592853e-07
4.964950000000000196e-01	7.077878787878852641e-07
4.974849999999999550e-01	6.305323232323290454e-06
4.984750000000000014e-01	8.937888888888970754e-07
4.994650000000000478e-01	1.476474747474761067e-06
5.004549999999999832e-01	4.955464646464692379e-05
5.014450000000000296e-01	8.589979797979877578e-07
5.024349999999999650e-01	7.155757575757642072e-07
5.034250000000000114e-01	6.931606060606124293e-07
5.044150000000000578e-01	1.220151515151526326e-06
5.054049999999999931e-01	7.413343434343503026e-07
5.063949999999999285e-01	6.566252525252585833e-07
5.073849999999999749e-01	8.327131313131389473e-07
5.083750000000000213e-01	6.599656565656625431e-07
5.093650000000000677e-01	6.476494949495008754e-07
5.103550000000000031e-01	1.056272727272736788e-06
5.113449999999999385e-01	6.677090909090969795e-07
5.123349999999999849e-01	7.388303030303098495e-07
5.133250000000000313e-01	8.309787878787955057e-07
5.143150000000000777e-01	7.768111111111182148e-07
5.153050000000000130e-01	6.086434343434399826e-07
5.162949999999999484e-01	6.851141414141477184e-07
5.172849999999999948e-01	5.950090909090963881e-07
5.182750000000000412e-01	5.897414141414194888e-07
5.192649999999999766e-01	5.937292929292983581e-07
5.202550000000000230e-01	5.794454545454598273e-07
5.212449999999999584e-01	2.260858585858607056e-06
5.222350000000000048e-01	5.691727272727324855e-07
5.232250000000000512e-01	5.781646464646517840e-07
5.242149999999999865e-01	5.604212121212173374e-07
5.252049999999999219e-01	5.568656565656616794e-07
5.261949999999999683e-01	5.540474747474798517e-07
5.271850000000000147e-01	5.625444444444496031e-07
5.281750000000000611e-01	5.406121212121262588e-07
5.291649999999999965e-01	5.697111111111164199e-07
5.301549999999999319e-01	5.362151515151564978e-07
5.311449999999999783e-01	7.471262626262694666e-07
5.321350000000000247e-01	5.313898989899038966e-07
5.331250000000000711e-01	1.506343434343448239e-06
5.341150000000000064e-01	5.612434343434394920e-07
5.351049999999999418e-01	7.897515151515223665e-07
5.360949999999999882e-01	5.017070707070752810e-07
5.370850000000000346e-01	4.984656565656612094e-07
5.380749999999999700e-01	6.439060606060666336e-07
5.390650000000000164e-01	1.155333333333343970e-06
5.400549999999999518e-01	4.803252525252569847e-07
5.410449999999999982e-01	4.820696969697014073e-07
5.420350000000000446e-01	1.164818181818192577e-06
5.430249999999999799e-01	4.761343434343478485e-07
5.440150000000000263e-01	4.602989898989941282e-07
5.450049999999999617e-01	6.676949494949557333e-07
5.459950000000000081e-01	5.509848484848536081e-07
5.469850000000000545e-01	4.430787878787919859e-07
5.479749999999999899e-01	5.093222222222268998e-07
5.489649999999999253e-01	4.310010101010140713e-07
5.499549999999999716e-01	4.250494949494988159e-07
5.509450000000000180e-01	4.192343434343473323e-07
5.519350000000000644e-01	4.282858585858625559e-07
