# Energy	Flux
# keV	photon/(s*keV*arcmin**2)
2.944999999999999840e-01	5.187199716337204808e-04
2.954999999999999849e-01	5.176420530094850547e-04
2.964999999999999858e-01	5.165712259551459356e-04
2.974999999999999867e-01	5.155110362556511146e-04
2.984999999999999876e-01	5.144650296959490162e-04
2.994999999999999885e-01	5.134154773512987100e-04
3.004999999999999893e-01	5.123836539313891174e-04
3.014999999999999902e-01	5.113553762964277325e-04
3.024999999999999911e-01	5.103377360163106457e-04
3.034999999999999920e-01	5.093271873060898659e-04
3.044999999999999929e-01	5.083272759507136010e-04
3.054999999999999938e-01	5.073309103802855439e-04
3.064999999999999947e-01	5.063451821647017848e-04
3.074999999999999956e-01	5.053700913039624321e-04
3.084999999999999964e-01	5.044056377980675942e-04
3.094999999999999973e-01	5.034376385072245486e-04
3.104999999999999982e-01	5.024838223561741172e-04
3.114999999999999991e-01	5.015370977750199929e-04
3.125000000000000000e-01	5.005974647637621757e-04
3.135000000000000009e-01	4.996649233224004488e-04
3.145000000000000018e-01	4.987394734509352457e-04
3.155000000000000027e-01	4.978246609343143407e-04
3.165000000000000036e-01	4.969133942026416435e-04
3.175000000000000044e-01	4.960092190408652534e-04
3.185000000000000053e-01	4.951192270188813690e-04
3.195000000000000062e-01	4.942256892119493853e-04
3.205000000000000071e-01	4.933463345448099073e-04
3.215000000000000080e-01	4.924705256626186372e-04
3.225000000000000089e-01	4.916018083503235657e-04
3.235000000000000098e-01	4.907401826079249097e-04
3.245000000000000107e-01	4.898891942203705517e-04
3.255000000000000115e-01	4.890382058328161937e-04
3.265000000000000124e-01	4.881978548001064048e-04
3.275000000000000133e-01	4.873645953372928146e-04
3.285000000000000142e-01	4.865419732293236850e-04
3.295000000000000151e-01	4.857158053364063477e-04
3.305000000000000160e-01	4.849002747983334710e-04
3.315000000000000169e-01	4.840918358301569556e-04
3.325000000000000178e-01	4.832869426469285396e-04
3.335000000000000187e-01	4.824891410335963764e-04
3.345000000000000195e-01	4.817019767751086197e-04
3.355000000000000204e-01	4.809148125166209172e-04
3.365000000000000213e-01	4.801382856129776211e-04
3.375000000000000222e-01	4.793653044942824785e-04
