# Energy	Flux
# keV	photon/(cm**2*s*keV*arcmin**2)
 0.4895  2.9980e-4
 0.4905  2.9980e-4
 0.4915  2.9980e-4
 0.4925  2.9980e-4
 0.4935  2.9980e-4
 0.4945  2.9980e-4
 0.4955  2.9980e-4
 0.4965  2.9980e-4
 0.4975  2.9980e-4
 0.4985  2.9980e-4
 0.4995  2.9980e-4
 0.5005  2.9980e-4
 0.5015  2.9980e-4
 0.5025  2.9980e-4
 0.5035  2.9980e-4
 0.5045  2.9980e-4
 0.5055  2.9980e-4
 0.5065  2.9980e-4
 0.5075  2.9980e-4
 0.5085  2.9980e-4
 0.5095  2.9980e-4
 0.5105  2.9980e-4
 0.5115  2.9980e-4
 0.5125  2.9980e-4
 0.5135  2.9980e-4
 0.5145  2.9980e-4
 0.5155  2.9980e-4
 0.5165  2.9980e-4
 0.5175  2.9980e-4
 0.5185  2.9980e-4
 0.5195  2.9980e-4
 0.5205  2.9980e-4
 0.5215  2.9980e-4
 0.5225  2.9980e-4
 0.5235  2.9980e-4
 0.5245  2.9980e-4
 0.5255  2.9980e-4
 0.5265  2.9980e-4
 0.5275  2.9980e-4
 0.5285  2.9980e-4
 0.5295  2.9980e-4
 0.5305  2.9980e-4
 0.5315  2.9980e-4
 0.5325  2.9980e-4
 0.5335  2.9980e-4
 0.5345  2.9980e-4
 0.5355  2.9980e-4
 0.5365  2.9980e-4
 0.5375  2.9980e-4
 0.5385  2.9980e-4
 0.5395  2.9980e-4
 0.5405  2.9980e-4
 0.5415  2.9980e-4
 0.5425  2.9980e-4
 0.5435  2.9980e-4
 0.5445  2.9980e-4
 0.5455  2.9980e-4
 0.5465  2.9980e-4
 0.5475  2.9980e-4
 0.5485  2.9980e-4
 0.5495  2.9980e-4
 0.5505  2.9980e-4
 0.5515  2.9980e-4
 0.5525  2.9980e-4
 0.5535  2.9980e-4
 0.5545  2.9980e-4
 0.5555  2.9980e-4
 0.5565  2.9980e-4
 0.5575  2.9980e-4
 0.5585  2.9980e-4
 0.5595  2.9980e-4
 0.5605  2.9980e-4
 0.5615  2.9980e-4
 0.5625  2.9980e-4
 0.5635  2.9980e-4
 0.5645  2.9980e-4
 0.5655  2.9980e-4
 0.5665  2.9980e-4
 0.5675  2.9980e-4
 0.5685  2.9980e-4
 0.5695  2.9980e-4
 0.5705  2.9980e-4
 0.5715  2.9980e-4
 0.5725  2.9980e-4
 0.5735  2.9980e-4
 0.5745  2.9980e-4
 0.5755  2.9980e-4
 0.5765  2.9980e-4
 0.5775  2.9980e-4
 0.5785  2.9980e-4
 0.5795  2.9980e-4
 0.5805  2.9980e-4
 0.5815  2.9980e-4
 0.5825  2.9980e-4
 0.5835  2.9980e-4
 0.5845  2.9980e-4
 0.5855  2.9980e-4
 0.5865  2.9980e-4
 0.5875  2.9980e-4
 0.5885  2.9980e-4
 0.5895  2.9980e-4
 0.5905  2.9980e-4
 0.5915  2.9980e-4
 0.5925  2.9980e-4
 0.5935  2.9980e-4
 0.5945  2.9980e-4
 0.5955  2.9980e-4
 0.5965  2.9980e-4
 0.5975  2.9980e-4
 0.5985  2.9980e-4
 0.5995  2.9980e-4
 0.6005  2.9980e-4
 0.6015  2.9980e-4
 0.6025  2.9980e-4
 0.6035  2.9980e-4
 0.6045  2.9980e-4
 0.6055  2.9980e-4
 0.6065  2.9980e-4
 0.6075  2.9980e-4
 0.6085  2.9980e-4
 0.6095  2.9980e-4
 0.6105  2.9980e-4
 0.6115  2.9980e-4
 0.6125  2.9980e-4
 0.6135  2.9980e-4
 0.6145  2.9980e-4
 0.6155  2.9980e-4
 0.6165  2.9980e-4
 0.6175  2.9980e-4
 0.6185  2.9980e-4
 0.6195  2.9980e-4
 0.6205  2.9980e-4
 0.6215  2.9980e-4
 0.6225  2.9980e-4
 0.6235  2.9980e-4
 0.6245  2.9980e-4
 0.6255  2.9980e-4
 0.6265  2.9980e-4
 0.6275  2.9980e-4
 0.6285  2.9980e-4
 0.6295  2.9980e-4
 0.6305  2.9980e-4
 0.6315  2.9980e-4
 0.6325  2.9980e-4
 0.6335  2.9980e-4
 0.6345  2.9980e-4
 0.6355  2.9980e-4
 0.6365  2.9980e-4
 0.6375  2.9980e-4
 0.6385  2.9980e-4
 0.6395  2.9980e-4
 0.6405  2.9980e-4
 0.6415  2.9980e-4
 0.6425  2.9980e-4
 0.6435  2.9980e-4
 0.6445  2.9980e-4
 0.6455  2.9980e-4
 0.6465  2.9980e-4
 0.6475  2.9980e-4
 0.6485  2.9980e-4
 0.6495  2.9980e-4
 0.6505  2.9980e-4
 0.6515  2.9980e-4
 0.6525  2.9980e-4
 0.6535  2.9980e-4
 0.6545  2.9980e-4
 0.6555  2.9980e-4
 0.6565  2.9980e-4
 0.6575  2.9980e-4
 0.6585  2.9980e-4
 0.6595  2.9980e-4
 0.6605  2.9980e-4
 0.6615  2.9980e-4
 0.6625  2.9980e-4
 0.6635  2.9980e-4
 0.6645  2.9980e-4
 0.6655  2.9980e-4
 0.6665  2.9980e-4
 0.6675  2.9980e-4
 0.6685  2.9980e-4
 0.6695  2.9980e-4
 0.6705  2.9980e-4
 0.6715  2.9980e-4
 0.6725  2.9980e-4
 0.6735  2.9980e-4
 0.6745  2.9980e-4
 0.6755  2.9980e-4
 0.6765  2.9980e-4
 0.6775  2.9980e-4
 0.6785  2.9980e-4
 0.6795  2.9980e-4
 0.6805  2.9980e-4
 0.6815  2.9980e-4
 0.6825  2.9980e-4
 0.6835  2.9980e-4
 0.6845  2.9980e-4
 0.6855  2.9980e-4
 0.6865  2.9980e-4
 0.6875  2.9980e-4
 0.6885  2.9980e-4
 0.6895  2.9980e-4
 0.6905  2.9980e-4
 0.6915  2.9980e-4
 0.6925  2.9980e-4
 0.6935  2.9980e-4
 0.6945  2.9980e-4
 0.6955  2.9980e-4
 0.6965  2.9980e-4
 0.6975  2.9980e-4
 0.6985  2.9980e-4
 0.6995  2.9980e-4
 0.7005  2.9980e-4
 0.7015  2.9980e-4
 0.7025  2.9980e-4
 0.7035  2.9980e-4
 0.7045  2.9980e-4
 0.7055  2.9980e-4
 0.7065  2.9980e-4
 0.7075  2.9980e-4
 0.7085  2.9980e-4
 0.7095  2.9980e-4
 0.7105  2.9980e-4
 0.7115  2.9980e-4
 0.7125  2.9980e-4
 0.7135  2.9980e-4
 0.7145  2.9980e-4
 0.7155  2.9980e-4
 0.7165  2.9980e-4
 0.7175  2.9980e-4
 0.7185  2.9980e-4
 0.7195  2.9980e-4
 0.7205  2.9980e-4
 0.7215  2.9980e-4
 0.7225  2.9980e-4
 0.7235  2.9980e-4
 0.7245  2.9980e-4
 0.7255  2.9980e-4
 0.7265  2.9980e-4
 0.7275  2.9980e-4
 0.7285  2.9980e-4
 0.7295  2.9980e-4
 0.7305  2.9980e-4
 0.7315  2.9980e-4
 0.7325  2.9980e-4
 0.7335  2.9980e-4
 0.7345  2.9980e-4
 0.7355  2.9980e-4
 0.7365  2.9980e-4
 0.7375  2.9980e-4
 0.7385  2.9980e-4
 0.7395  2.9980e-4
 0.7405  2.9980e-4
 0.7415  2.9980e-4
 0.7425  2.9980e-4
 0.7435  2.9980e-4
 0.7445  2.9980e-4
 0.7455  2.9980e-4
 0.7465  2.9980e-4
 0.7475  2.9980e-4
 0.7485  2.9980e-4
 0.7495  2.9980e-4
 0.7505  2.9980e-4
 0.7515  2.9980e-4
 0.7525  2.9980e-4
 0.7535  2.9980e-4
 0.7545  2.9980e-4
 0.7555  2.9980e-4
 0.7565  2.9980e-4
 0.7575  2.9980e-4
 0.7585  2.9980e-4
 0.7595  2.9980e-4
 0.7605  2.9980e-4
 0.7615  2.9980e-4
 0.7625  2.9980e-4
 0.7635  2.9980e-4
 0.7645  2.9980e-4
 0.7655  2.9980e-4
 0.7665  2.9980e-4
 0.7675  2.9980e-4
 0.7685  2.9980e-4
 0.7695  2.9980e-4
 0.7705  2.9980e-4
 0.7715  2.9980e-4
 0.7725  2.9980e-4
 0.7735  2.9980e-4
 0.7745  2.9980e-4
 0.7755  2.9980e-4
 0.7765  2.9980e-4
 0.7775  2.9980e-4
 0.7785  2.9980e-4
 0.7795  2.9980e-4
 0.7805  2.9980e-4
 0.7815  2.9980e-4
 0.7825  2.9980e-4
 0.7835  2.9980e-4
 0.7845  2.9980e-4
 0.7855  2.9980e-4
 0.7865  2.9980e-4
 0.7875  2.9980e-4
 0.7885  2.9980e-4
 0.7895  2.9980e-4
 0.7905  2.9980e-4
 0.7915  2.9980e-4
 0.7925  2.9980e-4
 0.7935  2.9980e-4
 0.7945  2.9980e-4
 0.7955  2.9980e-4
 0.7965  2.9980e-4
 0.7975  2.9980e-4
 0.7985  2.9980e-4
 0.7995  2.9980e-4
 0.8005  2.9980e-4
 0.8015  2.9980e-4
 0.8025  2.9980e-4
 0.8035  2.9980e-4
 0.8045  2.9980e-4
 0.8055  2.9980e-4
 0.8065  2.9980e-4
 0.8075  2.9980e-4
 0.8085  2.9980e-4
 0.8095  2.9980e-4
 0.8105  2.9980e-4
 0.8115  2.9980e-4
 0.8125  2.9980e-4
 0.8135  2.9980e-4
 0.8145  2.9980e-4
 0.8155  2.9980e-4
 0.8165  2.9980e-4
 0.8175  2.9980e-4
 0.8185  2.9980e-4
 0.8195  2.9980e-4
 0.8205  2.9980e-4
 0.8215  2.9980e-4
 0.8225  2.9980e-4
 0.8235  2.9980e-4
 0.8245  2.9980e-4
 0.8255  2.9980e-4
 0.8265  2.9980e-4
 0.8275  2.9980e-4
 0.8285  2.9980e-4
 0.8295  2.9980e-4
 0.8305  2.9980e-4
 0.8315  2.9980e-4
 0.8325  2.9980e-4
 0.8335  2.9980e-4
 0.8345  2.9980e-4
 0.8355  2.9980e-4
 0.8365  2.9980e-4
 0.8375  2.9980e-4
 0.8385  2.9980e-4
 0.8395  2.9980e-4
 0.8405  2.9980e-4
 0.8415  2.9980e-4
 0.8425  2.9980e-4
 0.8435  2.9980e-4
 0.8445  2.9980e-4
 0.8455  2.9980e-4
 0.8465  2.9980e-4
 0.8475  2.9980e-4
 0.8485  2.9980e-4
 0.8495  2.9980e-4
 0.8505  2.9980e-4
 0.8515  2.9980e-4
 0.8525  2.9980e-4
 0.8535  2.9980e-4
 0.8545  2.9980e-4
 0.8555  2.9980e-4
 0.8565  2.9980e-4
 0.8575  2.9980e-4
 0.8585  2.9980e-4
 0.8595  2.9980e-4
 0.8605  2.9980e-4
 0.8615  2.9980e-4
 0.8625  2.9980e-4
 0.8635  2.9980e-4
 0.8645  2.9980e-4
 0.8655  2.9980e-4
 0.8665  2.9980e-4
 0.8675  2.9980e-4
 0.8685  2.9980e-4
 0.8695  2.9980e-4
 0.8705  2.9980e-4
 0.8715  2.9980e-4
 0.8725  2.9980e-4
 0.8735  2.9980e-4
 0.8745  2.9980e-4
 0.8755  2.9980e-4
 0.8765  2.9980e-4
 0.8775  2.9980e-4
 0.8785  2.9980e-4
 0.8795  2.9980e-4
 0.8805  2.9980e-4
 0.8815  2.9980e-4
 0.8825  2.9980e-4
 0.8835  2.9980e-4
 0.8845  2.9980e-4
 0.8855  2.9980e-4
 0.8865  2.9980e-4
 0.8875  2.9980e-4
 0.8885  2.9980e-4
 0.8895  2.9980e-4
 0.8905  2.9980e-4
 0.8915  2.9980e-4
 0.8925  2.9980e-4
 0.8935  2.9980e-4
 0.8945  2.9980e-4
 0.8955  2.9980e-4
 0.8965  2.9980e-4
 0.8975  2.9980e-4
 0.8985  2.9980e-4
 0.8995  2.9980e-4
 0.9005  2.9980e-4
 0.9015  2.9980e-4
 0.9025  2.9980e-4
 0.9035  2.9980e-4
 0.9045  2.9980e-4
 0.9055  2.9980e-4
 0.9065  2.9980e-4
 0.9075  2.9980e-4
