# Energy	Flux
# keV		photon/(cm**2*s*keV*arcmin**2)
4.004999995231628418e-01	1.502090700784991539e-04
4.014999866485595703e-01	1.501516401141652658e-04
4.025000035762786865e-01	1.500993887449367139e-04
4.035000205039978027e-01	1.500528245941506035e-04
4.045000076293945312e-01	1.500126995291681112e-04
4.054999947547912598e-01	1.499799442353155418e-04
4.064999818801879883e-01	1.499543568447697379e-04
4.074999988079071045e-01	1.499356750162521973e-04
4.085000157356262207e-01	1.499238429156150680e-04
4.095000028610229492e-01	1.499186090699741942e-04
4.104999899864196777e-01	1.499194777649250738e-04
4.115000069141387939e-01	1.499240697108607104e-04
4.124999940395355225e-01	1.499297366256357675e-04
4.135000109672546387e-01	1.499358284062294851e-04
4.144999980926513672e-01	1.499427045766892779e-04
4.154999852180480957e-01	1.499508699967506790e-04
4.165000021457672119e-01	1.499604061675074583e-04
4.175000190734863281e-01	1.499713729724963301e-04
4.185000061988830566e-01	1.499835098442155287e-04
4.194999933242797852e-01	1.499963975794144642e-04
4.204999804496765137e-01	1.500105864149589184e-04
4.214999973773956299e-01	1.500265710228105415e-04
4.225000143051147461e-01	1.500445899569956385e-04
4.235000014305114746e-01	1.500658660164551968e-04
4.244999885559082031e-01	1.500903615541038976e-04
4.255000054836273193e-01	1.501173398029365070e-04
4.264999926090240479e-01	1.501476369477296375e-04
4.275000095367431641e-01	1.501822295840467129e-04
4.284999966621398926e-01	1.502199413414101415e-04
4.294999837875366211e-01	1.502614391307549558e-04
4.305000007152557373e-01	1.503079434560814572e-04
4.315000176429748535e-01	1.503575293600709387e-04
4.325000047683715820e-01	1.504090293398784571e-04
4.334999918937683105e-01	1.504631907470164477e-04
4.344999790191650391e-01	1.505219630856879725e-04
4.354999959468841553e-01	1.505863469985926179e-04
4.365000128746032715e-01	1.506560981199984973e-04
4.375000000000000000e-01	1.507301865246023654e-04
4.384999871253967285e-01	1.508064274665493461e-04
4.395000040531158447e-01	1.508822342725537181e-04
4.405000209808349609e-01	1.509553775736568364e-04
4.415000081062316895e-01	1.510230391820248873e-04
4.424999952316284180e-01	1.510830656146698830e-04
4.434999823570251465e-01	1.511361398473983755e-04
4.444999992847442627e-01	1.511815124822910483e-04
4.455000162124633789e-01	1.512168208143968085e-04
4.465000033378601074e-01	1.512407895718520686e-04
4.474999904632568359e-01	1.512526727724027779e-04
4.485000073909759521e-01	1.512525283312980847e-04
4.494999945163726807e-01	1.512391144014709420e-04
4.505000114440917969e-01	1.512110304229877776e-04
4.514999985694885254e-01	1.511689996631605457e-04
4.524999856948852539e-01	1.511136499264054199e-04
4.535000026226043701e-01	1.510455386991660734e-04
4.545000195503234863e-01	1.509650567435840091e-04
4.555000066757202148e-01	1.508724569807201393e-04
4.564999938011169434e-01	1.507691471954896898e-04
4.574999809265136719e-01	1.506570194882277407e-04
4.584999978542327881e-01	1.505378597027466939e-04
4.595000147819519043e-01	1.504139500864513641e-04
4.605000019073486328e-01	1.502872798137850231e-04
4.614999890327453613e-01	1.501596187530834889e-04
4.625000059604644775e-01	1.500343119349604266e-04
4.634999930858612061e-01	1.499125820386436650e-04
4.645000100135803223e-01	1.497936853384654831e-04
4.654999971389770508e-01	1.496785506705055723e-04
4.664999842643737793e-01	1.495686433195122871e-04
4.675000011920928955e-01	1.494652760407740803e-04
4.685000181198120117e-01	1.493697986318304530e-04
4.695000052452087402e-01	1.492842074692967498e-04
4.704999923706054688e-01	1.492106409068587965e-04
4.714999794960021973e-01	1.491493128972452820e-04
4.724999964237213135e-01	1.490996836515062047e-04
4.735000133514404297e-01	1.490604155831458172e-04
4.745000004768371582e-01	1.490300077037113951e-04
4.754999876022338867e-01	1.490084839685600320e-04
4.765000045299530029e-01	1.489961137283039633e-04
4.774999916553497314e-01	1.489921283102268361e-04
4.785000085830688477e-01	1.489967307498501787e-04
4.794999957084655762e-01	1.490099360783874339e-04
4.804999828338623047e-01	1.490309402617551757e-04
4.814999997615814209e-01	1.490591316852395870e-04
4.825000166893005371e-01	1.490948192374002277e-04
